"","Location","Year","Period","newyear","oldyear","prod_growth","area_growth","yield_growth","prod_change_area","prod_change_yield","prod_change_total","ps_area","ps_yield"
"23","PHILIPPINES",2010,"Annual",2010,2009,-0.0303753134564088,-0.0393064463816464,0.00929654715762328,-556217.555901345,62120.0559013445,-494097.500000001,1.12572428701085,-0.125724287010852
"24","PHILIPPINES",2011,"Annual",2011,2010,0.0578065280064396,0.0419095665043162,0.0152575252336523,607787.668234984,303955.331765016,911743,0.666621699574314,0.333378300425686
"25","PHILIPPINES",2012,"Annual",2012,2011,0.0808234511475682,0.0338177819629585,0.0454680408914594,574376.962927567,774086.507072434,1348463.47,0.425949219764601,0.574050780235399
"26","PHILIPPINES",2013,"Annual",2013,2012,0.022564463345799,0.0119465776605212,0.0104925357915879,260097.875047112,146796.384952887,406894.259999998,0.639227191475035,0.360772808524965
"27","PHILIPPINES",2014,"Annual",2014,2013,0.0286563486127663,-0.00135252137529959,0.0300495125961695,3061.72114843238,525344.718851569,528406.440000001,0.00579425403754044,0.99420574596246
"28","PHILIPPINES",2015,"Annual",2015,2014,-0.0431250467327538,-0.0176056522862966,-0.0259767317532391,-273858.513366584,-544129.876633416,-817988.39,0.334795110437428,0.665204889562572
"29","PHILIPPINES",2016,"Annual",2016,2015,-0.0287932578976472,-0.021516207647894,-0.00743706774361627,-364678.208890662,-157914.751109336,-522592.959999998,0.697824572475418,0.302175427524582
"30","PHILIPPINES",2017,"Annual",2017,2016,0.0935541445551897,0.0561375280674218,0.0354277880421831,944695.586000929,704406.223999071,1649101.81,0.572854617145153,0.427145382854847
"31","PHILIPPINES",2018,"Annual",2018,2017,-0.0109072893342133,-0.00236952109165402,-0.00855804671475319,-46694.9857074298,-163557.704292571,-210252.690000001,0.22208983726881,0.77791016273119
"32","PHILIPPINES",2019,"Annual",2019,2018,-0.0131787171924529,-0.031021629672168,0.0184141494032301,-496839.498612303,245572.848612304,-251266.649999999,1.97733960560347,-0.977339605603468
"33","PHILIPPINES",2020,"Annual",2020,2019,0.025513294533948,0.0144913618608552,0.0108644913968271,205907.235425908,274120.994574089,480028.229999997,0.428948179622497,0.571051820377503
"34","PHILIPPINES",2021,"Annual",2021,2020,0.034481454378095,0.0182630361754798,0.0159275330896135,383546.519906567,281768.160093436,665314.680000004,0.576488887794517,0.423511112205483
"35","PHILIPPINES",2022,"Annual",2022,2021,-0.0102031589942071,-0.000101324068977675,-0.0101028585879698,6288.68425364397,-209945.484253646,-203656.800000002,-0.030878832691292,1.03087883269129
"36","PHILIPPINES",2023,"Annual",2023,2022,0.0153391721436032,0.00233571826564309,0.0129731522492883,89568.3254747726,213480.234525228,303048.560000001,0.295557667308409,0.704442332691591
"37","PHILIPPINES",2024,"Annual",2024,2023,-0.0484769573702098,-0.0352778208926877,-0.0136818005881605,-676225.051198792,-296201.46880121,-972426.520000002,0.695399639243477,0.304600360756523
"38","PHILIPPINES",2025,"Annual",2025,2024,0.0307670347996267,0.0221620560440909,0.00841840949255947,459557.927905805,127696.622094196,587254.550000001,0.782553201002537,0.217446798997463
